cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,524,2025-02-27,49.27,2025-02-27,0.00,49.27,49.27,0.00,-49.27,0.00,Internet Banking INTERNET TRANSFER000000127940 4500*********318
0318,525,2025-02-27,129.86,2025-02-27,0.00,129.86,129.86,0.00,-129.86,0.00,Internet Banking INTERNET TRANSFER000000127351 4500*********318
0318,526,2025-02-27,15.61,2025-02-27,0.00,15.61,15.61,0.00,-15.61,0.00,Internet Banking INTERNET TRANSFER000000110149 4500*********318
0318,528,2025-02-27,282.00,2025-02-27,0.00,0.00,0.00,0.00,0.00,282.00,Internet Banking INTERNET TRANSFER000000105803 4500*********318
0318,501,2025-03-05,412.83,2025-02-27,0.00,0.00,0.00,0.00,0.00,412.83,Internet Banking INTERNET TRANSFER000000123015 4500*********318
0318,459,2025-03-17,58.62,2025-03-05,686.05,0.00,0.00,0.00,686.05,58.62,Internet Banking INTERNET TRANSFER000000233425 4500*********318
0318,460,2025-03-17,37.92,2025-03-17,0.00,0.00,0.00,0.00,0.00,37.92,Internet Banking INTERNET TRANSFER000000210685 4500*********318
0318,461,2025-03-17,19.54,2025-03-17,0.00,0.00,0.00,0.00,0.00,19.54,Internet Banking INTERNET TRANSFER000000233183 4500*********318
0318,462,2025-03-17,195.45,2025-03-17,0.00,0.00,0.00,0.00,0.00,195.45,Internet Banking INTERNET TRANSFER000000233002 4500*********318
0318,464,2025-03-17,110.86,2025-03-17,0.00,110.86,110.86,0.00,-110.86,0.00,Internet Banking INTERNET TRANSFER000000231745 4500*********318
0318,466,2025-03-17,80.08,2025-03-17,0.00,80.08,80.08,0.00,-80.08,0.00,Internet Banking INTERNET TRANSFER000000231004 4500*********318
0318,469,2025-03-17,27.60,2025-03-17,0.00,27.60,27.60,0.00,-27.60,0.00,Internet Banking INTERNET TRANSFER000000239486 4500*********318
0318,470,2025-03-17,21.81,2025-03-17,0.00,0.00,0.00,0.00,0.00,21.81,Internet Banking INTERNET TRANSFER000000238704 4500*********318
0318,471,2025-03-17,66.17,2025-03-17,0.00,66.17,66.17,0.00,-66.17,0.00,Internet Banking INTERNET TRANSFER000000238346 4500*********318
0318,472,2025-03-17,305.31,2025-03-17,0.00,305.31,305.31,0.00,-305.31,0.00,Internet Banking INTERNET TRANSFER000000224078 4500*********318
0318,475,2025-03-17,44.95,2025-03-17,0.00,44.95,44.95,0.00,-44.95,0.00,Internet Banking INTERNET TRANSFER000000223004 4500*********318
